time,o,h,l,c,volume
2020-01-20T19:35:00.000000000Z,1.1091799999999998,1.1091799999999998,1.1091600000000001,1.1091600000000001,4
2020-01-20T19:36:00.000000000Z,1.10915,1.10915,1.1091,1.10913,11
2020-01-20T19:37:00.000000000Z,1.10914,1.1091600000000001,1.10914,1.10915,3
2020-01-20T19:38:00.000000000Z,1.1091600000000001,1.1091799999999998,1.10914,1.1091600000000001,7
2020-01-20T19:39:00.000000000Z,1.1091799999999998,1.1092,1.10917,1.1091799999999998,5
2020-01-20T19:40:00.000000000Z,1.1091799999999998,1.10919,1.1091600000000001,1.1091799999999998,8
2020-01-20T19:41:00.000000000Z,1.1091600000000001,1.1091600000000001,1.1091600000000001,1.1091600000000001,1
2020-01-20T19:42:00.000000000Z,1.1091799999999998,1.10919,1.1091799999999998,1.10919,2
2020-01-20T19:43:00.000000000Z,1.1091799999999998,1.1091799999999998,1.1091799999999998,1.1091799999999998,1
2020-01-20T19:44:00.000000000Z,1.1091799999999998,1.1091799999999998,1.1091799999999998,1.1091799999999998,5
2020-01-20T19:45:00.000000000Z,1.1091799999999998,1.1091799999999998,1.1091799999999998,1.1091799999999998,6
2020-01-20T19:46:00.000000000Z,1.1092,1.1092,1.1092,1.1092,1
2020-01-20T19:47:00.000000000Z,1.1092,1.1092,1.1091600000000001,1.1091600000000001,5
2020-01-20T19:48:00.000000000Z,1.10917,1.10917,1.1091600000000001,1.1091600000000001,4
2020-01-20T19:49:00.000000000Z,1.10917,1.10917,1.10911,1.10914,12
2020-01-20T19:50:00.000000000Z,1.1091600000000001,1.1091799999999998,1.1091600000000001,1.1091799999999998,3
2020-01-20T19:51:00.000000000Z,1.10917,1.10917,1.10917,1.10917,1
2020-01-20T19:52:00.000000000Z,1.1091799999999998,1.1091799999999998,1.1091600000000001,1.1091799999999998,4
2020-01-20T19:53:00.000000000Z,1.1091600000000001,1.1091799999999998,1.1091600000000001,1.1091799999999998,5
2020-01-20T19:54:00.000000000Z,1.1091799999999998,1.1092,1.1091799999999998,1.1092,5
2020-01-20T19:55:00.000000000Z,1.1092,1.1092,1.1092,1.1092,4
2020-01-20T19:56:00.000000000Z,1.10922,1.10922,1.1092,1.1092,4
2020-01-20T19:57:00.000000000Z,1.1092,1.1092,1.1092,1.1092,3
2020-01-20T20:00:00.000000000Z,1.1091799999999998,1.1093899999999999,1.1091799999999998,1.10935,19
2020-01-20T20:01:00.000000000Z,1.1093600000000001,1.10948,1.10915,1.1093600000000001,60
2020-01-20T20:02:00.000000000Z,1.10938,1.10944,1.10922,1.1092600000000001,99
2020-01-20T20:03:00.000000000Z,1.10923,1.10933,1.10921,1.10932,35
2020-01-20T20:04:00.000000000Z,1.10933,1.10934,1.10933,1.10933,7
2020-01-20T20:05:00.000000000Z,1.10934,1.1093600000000001,1.10933,1.1093600000000001,4
2020-01-20T20:07:00.000000000Z,1.10935,1.10935,1.1092600000000001,1.1092600000000001,9
2020-01-20T20:08:00.000000000Z,1.10924,1.10924,1.10922,1.10922,2
2020-01-20T20:09:00.000000000Z,1.10924,1.10924,1.10922,1.10922,2
2020-01-20T20:10:00.000000000Z,1.10924,1.10924,1.10922,1.10922,2
2020-01-20T20:11:00.000000000Z,1.1092,1.10922,1.1091799999999998,1.10922,10
2020-01-20T20:12:00.000000000Z,1.1092,1.1092,1.10919,1.10919,4
2020-01-20T20:13:00.000000000Z,1.1092,1.10923,1.1092,1.10923,3
2020-01-20T20:14:00.000000000Z,1.10924,1.10925,1.10924,1.10925,2
2020-01-20T20:15:00.000000000Z,1.10924,1.10924,1.10921,1.10922,4
2020-01-20T20:16:00.000000000Z,1.10921,1.10942,1.10921,1.10942,15
2020-01-20T20:17:00.000000000Z,1.10941,1.10941,1.10941,1.10941,1
2020-01-20T20:18:00.000000000Z,1.10942,1.10945,1.10941,1.10944,11
2020-01-20T20:19:00.000000000Z,1.10944,1.10944,1.10944,1.10944,3
2020-01-20T20:20:00.000000000Z,1.10944,1.10944,1.10944,1.10944,1
2020-01-20T20:21:00.000000000Z,1.10944,1.10944,1.10942,1.10942,4
2020-01-20T20:22:00.000000000Z,1.10944,1.10948,1.10942,1.10943,22
2020-01-20T20:23:00.000000000Z,1.10942,1.10942,1.1092600000000001,1.10932,17
2020-01-20T20:24:00.000000000Z,1.1093,1.1093,1.1092799999999998,1.1093,3
2020-01-20T20:25:00.000000000Z,1.1093,1.10932,1.1092799999999998,1.1092799999999998,5
2020-01-20T20:26:00.000000000Z,1.1093,1.10938,1.1093,1.10938,7
2020-01-20T20:27:00.000000000Z,1.10937,1.10938,1.10937,1.10938,2
